"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","907","TC_PLT_UI_USER_04 Verify that the system displays ""No plants found"" message when no plants exist for the selected category and search term","","2026-02-07","passed","2026-02-07","","Plant List User UI","",""
"","131","Get all sales successfully","","2026-02-07","passed","2026-02-07","","Sales Admin API","",""
"","4412","TC_PLT_API_ADMIN_01 Verify that Admin can successfully add a nested category and plant (or use existing)","","2026-02-07","passed","2026-02-07","","Plant Admin API Tests","",""
"","101","TC_CAT_API_USER_06 Verify 404 for non-existent category","","2026-02-07","passed","2026-02-07","","Category API - User Operations","",""
"","1316","UI_DASH_ADMIN_001 Dashboard loads after admin login","","2026-02-07","passed","2026-02-07","","Dashboard Admin UI","",""
"","112","TC_PLT_API_USER_03 Verify that regular User can filter plants by category via API","","2026-02-07","passed","2026-02-07","","Plant User API Tests","",""
"","109","TC_CAT_API_USER_04 Verify User cannot update an existing category","","2026-02-07","passed","2026-02-07","","Category API - User Operations","",""
"","336","TC-Admin-Plants-10 Sort plants by Stock","","2026-02-07","passed","2026-02-07","","Plant List Admin UI","",""
"","2047","TC_SALES_UI_ADMIN_02 Verify Admin can sell a plant with valid quantity","","2026-02-07","passed","2026-02-07","","Sales Management Admin UI","",""
"","19","API_DASH_ADMIN_006 Inventory endpoint should be disabled/blocked for Admin","","2026-02-07","passed","2026-02-07","","Dashboard API - Admin (Savindu R.H. - Group 28)","",""
"","603","TC_SALES_UI_ADMIN_05 Verify validation error when Quantity is empty","","2026-02-07","passed","2026-02-07","","Sales Management Admin UI","",""
"","98","TC_CAT_API_USER_09 Verify response format is JSON","","2026-02-07","passed","2026-02-07","","Category API - User Operations","",""
"","432","UI_DASH_USER_002 User can navigate to Categories from dashboard card","","2026-02-07","passed","2026-02-07","","Dashboard User UI","",""
"","108","API_DASH_USER_002 User can fetch dashboard summary","","2026-02-07","passed","2026-02-07","","Dashboard API - User (Savindu R.H. - Group 28)","",""
